"country","began","duration","area","magnitude","x","y"
"USA",34417,5,179822,6,-85.3,33
"USA",34286,4,33628,5,-91.6,34.1
"USA",34234,7,31767,6,-94.6,36.8
"USA",34202,2,579,3,-99.8,41.6
"USA",34144,61,444971,8,-92.5,40.4
"USA",34141,3,168819,6,-88.9,19.8
"USA",34035,6,25231,5,-97.7,41.7
"USA",34023,12,7407,5,-113.8,32.9
"USA",33989,2,42375,5,-90.7,29.9
"USA",33937,1,83,2,-85.2,29.7
"USA",33857,3,2902,4,-159.5,22.1
"USA",33842,2,68137,5,-81.3,26.3
"USA",33785,7,33289,5,-91.9,39.3
"USA",33760,2,4609,4,-72.7,41.6
"USA",33675,3,1311,4,-72.5,44.3
"USA",33667,3,6381,4,-95.3,29.8
"USA",33644,3,4604,4,-118.1,34
"USA",33590,14,7421,5,-96,29.5
"USA",33586,3,1320,4,-159.6,22.1
"USA",33574,2,210360,6,-82.9,40.1
"USA",33519,6,10405,5,-80.4,26.3
"USA",33495,3,70881,5,-99.9,28.8
"USA",33486,4,24978,5,-111.9,41.1
"USA",33462,3,14207,5,-97.5,32.5
"USA",33460,3,2578,4,-75.5,40
"USA",33400,2,78319,5,-92.3,31.2
"USA",33361,5,22130,5,-147.4,64.8
"USA",33356,5,119197,6,-91.3,32.1
"USA",33333,5,32172,5,-97.7,27.4
"USA",33316,7,876,4,-158,21.5
"USA",33238,4,177859,6,-83.1,39.9
"USA",33203,5,21311,5,-86.7,40.9
"USA",33187,6,23288,5,-121.8,48
"USA",33150,3,76699,5,-81.5,29.5
"USA",33123,3,45800,5,-81.3,39.5
"USA",33103,7,502368,7,-90.7,41.6
"USA",33092,5,20289,5,-71.8,44
"USA",33082,8,31887,5,-91.8,42.4
"USA",33044,3,31630,5,-89.4,40.4
"USA",33039,2,5168,4,-80.9,40.3
"USA",33024,3,4890,4,-90.7,32.7
"USA",32989,37,277912,7,-95.1,32.7
"USA",32948,9,162225,6,-84.9,31.1
"USA",32899,5,7562,5,-91.1,30.6
"USA",32882,3,86747,6,-123.1,45
"USA",32857,32,15159,6,-152.6,61.3
"USA",32796,2,6299,4,-94.5,29.6
"USA",32724,4,54974,5,-87.1,37.2
"USA",32661,4,320835,6,-93.4,37.2
"USA",32652,3,8897,4,-73.1,44.3
"USA",32643,6,185648,6,-95.4,31.6
"USA",32607,11,154569,7,-120.7,43.8
"USA",32596,4,100391,6,-91.3,32.6
"USA",32593,17,10934,5,-95,38.4
"USA",32585,10,2594,4,-82,39.9
"USA",32552,6,2609,4,-111.9,33
"USA",32550,3,31247,5,-79.7,38
"USA",32540,2,25065,5,-80.6,26
"USA",32392,4,6517,5,-82.4,27.8
"USA",32174,4,2709,4,-90.2,30.6
"USA",32143,2,386,3,-157.8,21.4
"USA",32136,5,16161,5,-90,35.4
"USA",32028,2,12009,4,-75.9,40.4
"USA",31975,1,999,3,-98.8,29.9
"USA",31960,2,11884,5,-82.6,40.6
"USA",31923,5,36414,6,-95.3,40.6
"USA",31867,10,39618,6,-69.5,44.7
"USA",31739,4,26882,5,-122,47.7
"USA",31681,18,107661,7,-90.7,38.9
"USA",31680,11,49215,6,-107.5,48
"USA",31664,9,53960,6,-84.5,43.1
"USA",31657,4,49574,5,-102.2,32
"USA",31642,4,3757,4,-81.5,34.3
"USA",31630,1,6562,4,-88.2,42.9
"USA",31594,2,6986,4,-94.9,41.7
"USA",31590,4,25821,5,-94.2,31.1
"USA",31563,12,26949,6,-97.8,29.7
"USA",31562,2,1700,4,-79.7,40.6
"USA",31556,1,5256,4,-97.3,32.4
"USA",31547,1,6447,4,-89.8,37.3
"USA",31498,10,4321,5,-87.9,45
"USA",31455,16,88717,6,-121.4,39.3
"USA",31413,6,1742,4,-117,44
"USA",31411,2,2797,4,-82.8,42.7
"USA",31352,9,57867,6,-78.5,38.8
"USA",31346,5,9356,5,-90,29.5
"USA",31339,3,61286,5,-98.7,31.8
"USA",31326,3,7220,4,-66.6,18.2
"USA",31296,4,3235,4,-83.9,43.2
"USA",31289,7,73969,6,-82.3,28.5
"USA",31261,2,17923,5,-105.1,41.7
"USA",31252,2,2440,4,-85.8,34.5
"USA",31237,2,24269,5,-80.6,38.9
"USA",31208,2,9865,5,-96.1,36.4
"USA",31203,2,83470,5,-99.4,33.7
"USA",31186,2,1424,3,-66.7,18.2
"USA",31178,2,116344,5,-105.3,34.9
"USA",31161,2,5124,4,-87.9,46.5
"USA",31148,2,17193,5,-96.8,28.6
"USA",31136,2,16884,5,-83.5,42
"USA",31120,2,141508,5,-96.8,29.6
"USA",31119,2,26527,5,-108.1,35.4
"USA",31109,6,26266,5,-89.6,40.7
"USA",31100,8,210528,7,-85.2,40.7
