"country","began","duration","area","magnitude","x","y"
"Bolivia",40573,2,85175,5,-64,-21.1
"Malaysia",40571,4,62168,6,104.7,-4.1
"Philippines",40568,7,3624,5,125.8,9.4
"New Zealand",40571,4,12401,5,175.6,-36.6
"Saudi Arabia",40569,6,30362,5,39.9,21.4
"Indonesia",40559,3,10403,4,108.3,-6.8
"Germany",40550,4,17420,5,7.6,50.3
"Sri Lanka",40548,14,22133,6,81.3,7.6
"South Africa",40544,35,134636,7,28.4,-31.1
"Brazil",40544,18,587385,7,-43.4,-18.7
"Philippines",40544,18,10774,6,125.6,8.1
"Australia",40537,42,911256,8,147.6,-24.8
"Australia",40529,12,175962,7,115.1,-24.7
"USA",40531,10,355568,7,-120.7,38.8
"Canada",40526,7,19019,5,-67.4,48.3
"Ukraine",40525,5,23547,5,23.3,48.5
"Panama",40520,10,23751,6,-78.6,8.9
"Spain",40518,5,22050,5,-5.9,37.8
"India",40497,23,57474,6,78.5,9.9
"Greece",40515,15,27315,6,21.5,40.1
"Serbia",40513,17,101737,7,20.7,44
"Venezuela",40507,26,180761,7,-66.9,9.8
"Morocco",40511,2,70791,5,-7.8,32.5
"Australia",40509,24,832001,8,147.4,-29.8
"Viet Nam",40484,26,45584,6,108,15.2
"Columbia",40497,36,1140146,8,-73,4.1
"UK",40498,5,8728,5,-3.6,50.8
"Belgium",40494,4,8459,5,4.4,50.9
"Ghana",40487,7,4568,5,-0.8,8.3
"Italy",40490,4,18726,5,11.1,45.1
"Sri Lanka",40493,17,11880,5,80.3,7.3
"Indonesia",40484,4,23685,5,121.6,-8.7
"Malaysia",40483,5,44793,5,101.9,5.6
"Haiti",40487,6,39742,6,-75.9,20.5
"Chad",40452,36,8249,6,15.2,11.2
"Costa Rica",40483,5,10440,5,-83.3,9.1
"Viet Nam",40481,7,33660,5,108.9,12.5
